artist,title,genre,rating,date,image,score,sp_artist,sp_popularity,sp_followers,sp_artist_id
Fiona Apple,Fetch the Bolt Cutters,Pop/Rock,4.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Q09ZNWphOVFIo3kexBJk09_M69_UI9rrJSVvWL2-yAg=&f=3,86.25,Fiona Apple,75,625943,3g2kUQ6tHLLbmkV7T4GPtL
Lido Pimienta,Miss Colombia,"Electronic, Latin, Pop/Rock",4.5,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Inu05zuXJxm0luxcBmWmahyhM-OFI8zG4l-qVpXXB1I=&f=3,80.25,Lido Pimienta,51,19919,1IdkKQ9CM1i0wygfxYV4Z3
Trivium,What the Dead Men Say,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=epuqKkLi6xOdbhM9Yh9QRj6KsMttLlyBmmVTZ6_CLs0=&f=3,77.5,Trivium,70,972937,278ZYwGhdK6QTzE3MFePnP
Enter Shikari,Nothing Is True & Everything Is Possible,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=0C9Zdo4HJEhLqLwqBzQxuw4Q1ghY8VaPylnm7PwcKNY=&f=3,77.0,Enter Shikari,68,299868,31jvzuB4ikftPQZJwrYfCF
BC Camplight,Shortly After Takeoff,Pop/Rock,4.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Inu05zuXJxm0luxcBmWmaphUoDg0hsvx4F4sL4oO-nA=&f=3,76.75,BC Camplight,37,9533,3cePP77CX6XY9b0aigzrqh
Ezra Furman,Sex Education [Original Soundtrack],"Pop/Rock, Stage & Screen",4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=cSAGhH0s4ZKOicR-TGUiEx_TZlp6n_cq-Emr2zx15tU=&f=3,74.5,Ezra Furman,58,103289,1uR7zoLrSRI8bSL43OZ0GY
RJD2,The Fun Ones,"Pop/Rock, Rap, R&B;",4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=CtXFHF1DkMAd-ca8AVr3mFWnbEN5fCjifro6xhIBuB4=&f=3,74.5,RJD2,58,288999,1O3ZOjqFLEnbpZexcRjocn
The Black Dahlia Murder,Verminous,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=XoMnT0Kj002uPqKNR4t3jB_TZlp6n_cq-Emr2zx15tU=&f=3,74.5,The Black Dahlia Murder,58,197169,4xTDPgk4jHCF0qui3dH6BS
Katatonia,City Burials [Deluxe Edition],Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Rsglqwuc-4nDLgO7-Yvx6d_M69_UI9rrJSVvWL2-yAg=&f=3,74.0,Katatonia,56,203774,2CWWgbxApjbyByxBBCvGTm
Active Child,In Another Life,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://cdn-s3.allmusic.com/release-covers/250/0005/187/0005187354.jpg,72.75,Active Child,51,92028,54KTsBl98buzGkELjGlnuU
Ron Sexsmith,Hermitage,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=hAz9pcV3j1f_2NuOsLoLCt_M69_UI9rrJSVvWL2-yAg=&f=3,72.0,Ron Sexsmith,48,26552,2wXBWJhbm1gfEVjyEEuhDH
Other Lives,For Their Love,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=BiVpgXi5Vu7yaSLdswqUOhyhM-OFI8zG4l-qVpXXB1I=&f=3,71.75,Other Lives,47,72436,3bw0A7x5AgdJsK20ai5iS6
Joel Harrison,America At War,Jazz,4.5,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=BuPBSH2tK4Vh9GeiRXiAGASijaXJlYnq0St31qpAJWo=&f=3,71.5,Joel Harrison,16,408,6BXA5FDonefcAe2hg4T7K5
Shelby Lynne,Shelby Lynne,Pop/Rock,4.0,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=Gjp-bjglii3NTP-HhLn1yJhUoDg0hsvx4F4sL4oO-nA=&f=3,71.25,Shelby Lynne,45,30380,3xx17YXYvPl9PBx6Jzalk4
Tech N9ne,Enterfear,Rap,3.5,2020-04-17T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=jJypcpDBwTaZbA5iqfyS5QSijaXJlYnq0St31qpAJWo=&f=3,71.25,Tech N9ne,75,1583812,6UBA15slIuadJ8h2lPRPos
The Pack A.D.,It Was Fun While It Lasted,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=UWYjn5GimM6IEHl3nFWJ7g4Q1ghY8VaPylnm7PwcKNY=&f=3,70.75,The Pack a.d.,43,27381,2gbOUPIhea9nrCmAeZBgpo
Peter Oren,The Greener Pasture,Pop/Rock,4.0,2020-04-24T00:00.000Z,https://rovimusic.rovicorp.com/image.jpg?c=qG9DOUkx8bspSvKS3pitGwSijaXJlYnq0St31qpAJWo=&f=3,70.75,Peter Oren,43,3889,3F4I37yqRPW4B95eRCHsyA
