artist,title,genre,url,image,score,sp_artist,sp_popularity,sp_followers,sp_date,sp_img,sp_album_id,sp_artist_id
dvsn,A Muse In Her Feelings,r&b/soul,https://dvsnband.bandcamp.com/album/a-muse-in-her-feelings,https://f4.bcbits.com/img/a4204787150_2.jpg,78.278,dvsn,74,739147,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023aba3bf1aad3ff1bb393e4b2,153lLZKTVw25BTcLuXB8ME,7e1ICztHM2Sc4JNLxeMXYl
Lido Pimienta,Miss Colombia,alternative,https://lidopimienta.bandcamp.com/album/miss-colombia,https://f4.bcbits.com/img/a471946789_2.jpg,61.028,Lido Pimienta,51,19919,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02802fedd4354077a836e6a3e2,6H6MZ54B5FLBLXXxWGEl7y,1IdkKQ9CM1i0wygfxYV4Z3
The Birthday Massacre,Diamonds,alternative,https://thebirthdaymassacre.bandcamp.com/album/diamonds,https://f4.bcbits.com/img/a2603976826_2.jpg,58.194,The Birthday Massacre,55,125501,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02446f8ea2591239282681260d,1VNFWHGOrDuZH70xJYmO7w,16AVsBqzmIZTNHd0eX8VbK
Alaskan Tapes,Sleeping Since Last Year,ambient,https://alaskantapes.bandcamp.com/album/sleeping-since-last-year,https://f4.bcbits.com/img/a2962421401_2.jpg,54.917,Alaskan Tapes,51,11675,2020-03-26T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e417895b602f8f0dbfdbe214,6JmGS3kkpR6ydDatPtuxPo,5GHBk4xcO1UqlbyrUXv5dq
Black Dresses,Peaceful as Hell,electronic,https://blackdresses.bandcamp.com/album/peaceful-as-hell,https://f4.bcbits.com/img/a3575771155_2.jpg,54.667,Black Dresses,44,10907,2020-04-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02387112a76ede40ce864b540d,6xf8VTV1vcs2VAVLg4nMLG,7FFwJQ58hAy7PMo4lUBW96
Merival,Either Side,folk,https://merival.bandcamp.com/album/either-side,https://f4.bcbits.com/img/a3798088723_2.jpg,49.472,Merival,33,1557,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b37c2d53c184b206b88e1791,1B30WM2bvfhUrF9wz6kU6X,1kCQYFPjvDy6ARPdGi3dby
Jaunt,All In One,alternative,https://jauntband.bandcamp.com/album/all-in-one,https://f4.bcbits.com/img/a2392777796_2.jpg,48.75,Jaunt,35,3860,2020-04-16T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027215d78382a2739501f1f936,0g8fBdNLiOk05wKkDRktd8,0RjyW369Wyqush2rz41dkA
adaline,"Dear Illusion,",pop,https://adalinemusic.bandcamp.com/album/dear-illusion,https://f4.bcbits.com/img/a2057344328_2.jpg,48.722,Adaline,32,3830,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023de03889b13a68389f056699,4Td1ugwzJ0bJ81azK2gSpQ,1REDrBXbbc8ZeQOzdoZ8HB
Andrew Huang,Ganglia,experimental,https://andrewhuang.bandcamp.com/album/ganglia,https://f4.bcbits.com/img/a2016927779_2.jpg,48.556,Andrew Huang,44,100571,2020-03-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0281dc09d9a3b0a58c553508f2,6bSMsFtOa45NOKFsqupiwt,7HifubxN0gO1nHbRIqWhrY
Daniel Romano,"""Okay Wow""",alternative,https://youvechangedrecords.bandcamp.com/album/okay-wow,https://f4.bcbits.com/img/a2294425505_2.jpg,48.444,Daniel Romano,42,18774,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027482ce893030b4f745def234,3M8t4pnAxzffVhugkF0kcG,2kTXvMOmrHVjVewErG5kHD
Bruce Peninsula,No Earthly Sound,folk,https://brucepeninsula.bandcamp.com/album/no-earthly-sound,https://f4.bcbits.com/img/a3464781188_2.jpg,47.528,Bruce Peninsula,33,3033,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0295630956c52b904b21f99af6,5eVVVY0zVykT1hePDZFVMI,2Iua0nuwiUuEpXR4qOS4xe
Lord Phobos,Phobos II,electronic,https://lordphobos.bandcamp.com/album/phobos-ii,https://f4.bcbits.com/img/a1084688991_2.jpg,44.222,Lord Phobos,26,2399,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020722b44b466ac0a9028d3776,6QabY5xXzGMUykHC2c48ff,7sfqlIbynVxN4Xwxr8ZkAW
Dana Gavanski,Yesterday Is Gone,alternative,https://danagavanskifth.bandcamp.com/album/yesterday-is-gone,https://f4.bcbits.com/img/a2086411104_2.jpg,42.444,Dana Gavanski,34,2409,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02cd217afd38c3fc7cab0b0a7b,0bB0tJH93oXBaxdhJswBIp,1GSLjV7vq6pSsNAEFwWSbn
zakè,Carolina,ambient,https://polarseasrecordings.bandcamp.com/album/carolina,https://f4.bcbits.com/img/a2075857170_2.jpg,37.056,zakè,32,334,2020-03-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0269e317997ad228ff68d1f30c,5aW1GRYwOAstAw09eKHtC5,22becwc1PhY3lSxHM3YThr
Fiver,You Wanted Country? Vol. 1,alternative,https://youvechangedrecords.bandcamp.com/album/you-wanted-country-vol-1,https://f4.bcbits.com/img/a296471393_2.jpg,34.639,Fiver,21,1087,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02015f39af669fd001f1fbdaff,6P3Nf6AtzuIopOnIL2X35e,1nvq3vakg2j1A0wTpV0AkO
Luge,Luge,experimental,https://hugeluge.bandcamp.com/album/luge,https://f4.bcbits.com/img/a439944892_2.jpg,34.472,Luge,13,583,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025ce99a81738947fde57563f4,3BmO20hvs6qutveSf4I6sE,7daFRHQonSQK9Mu3op88n7
Jon Mckiel,Bobby Joe Hope,alternative,https://youvechangedrecords.bandcamp.com/album/bobby-joe-hope,https://f4.bcbits.com/img/a1343187982_2.jpg,34.472,Jon McKiel,13,979,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a8a1fb0c3e7759571c15a682,5mvIH4FABTL38eZF0CaRUX,42tgL54E6Mh70eIaikDven
Eliza Niemi,Glass,folk,https://elizaniemi.bandcamp.com/album/glass,https://f4.bcbits.com/img/a100589942_2.jpg,32.528,Eliza Niemi,13,171,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024e5d2432da566a812850a676,5tDZswz2hVSNdF4qJHkGaG,6UntKZ32JDgJV35Nmk5gDi
Cindy Lee,What's Tonight To Eternity,rock,https://cindylee.bandcamp.com/album/whats-tonight-to-eternity,https://f4.bcbits.com/img/a3690679937_2.jpg,32.278,Cindy Lee,36,5398,2020-02-14T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028cc1e0b31aade5ecbad2af4a,5BEV4gGnAkRsLuoW3FQeqN,0TZExq5Dma8hecEIAKwQYA
LUKA KUPLOWSKY,Judee Justin Arthur Mary,folk,https://tunes.mamabirdrecordingco.com/album/judee-justin-arthur-mary,https://f4.bcbits.com/img/a1084377840_2.jpg,32.222,Luka Kuplowsky,10,272,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b91b42125a4e62be440b6473,0wCSdWmd16IEyBE7pqgKMD,3WoJfG2qjHZ9Q96yFMQ8FE
