artist,title,genre,rating,date,image,score,sp_artist,sp_genres,sp_popularity,sp_followers,sp_id
Fiona Apple,Fetch the Bolt Cutters,Rock,10.0,2020-04-17T05:00:00.000Z,https://media.pitchfork.com/photos/5e98fd8b34830c0008097f47/1:1/w_320/FIONAAPPLECOVER.jpg,92.0,Fiona Apple,"['art pop', 'chamber pop', 'indie pop', 'lilith', 'permanent wave', 'piano rock', 'pop rock', 'singer-songwriter']",68,609170,3g2kUQ6tHLLbmkV7T4GPtL
The Mountain Goats,Songs for Pierre Chuvin,Rock,8.1,2020-04-16T05:00:00.000Z,https://media.pitchfork.com/photos/5e94971d1a3ea30008764f25/1:1/w_320/Songs%20for%20Pierre%20Chuvin_The%20Mountain%20Goats.jpg,75.5,The Mountain Goats,"['alternative rock', 'anti-folk', 'canadian indie', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'new weird america', 'stomp and holler']",59,219124,3hyGGjxu73JuzBa757H6R5
Laura Marling,Song for Our Daughter,Folk/Country,7.6,2020-04-11T05:00:00.000Z,https://media.pitchfork.com/photos/5e90912414d7100009d3fda2/1:1/w_320/Song%20for%20Our%20Daughter_Laura%20Marling.jpg,73.25,Laura Marling,"['art pop', 'british folk', 'british singer-songwriter', 'chamber pop', 'indie folk', 'indie pop', 'singer-songwriter', 'stomp and holler']",65,354555,7B2edU3Q7btJoNsoHCNohM
Lido Pimienta,Miss Colombia,Pop/R&B,8.0,2020-04-18T05:00:00.000Z,https://media.pitchfork.com/photos/5e988b3b2eea7f00096658df/1:1/w_320/Miss%20Colombia_Lido%20Pimienta.jpg,72.0,Lido Pimienta,"['canadian latin', 'deep latin alternative', 'latintronica']",48,18819,1IdkKQ9CM1i0wygfxYV4Z3
Pink Siifu,Negro,Rap,7.8,2020-04-15T05:00:00.000Z,https://media.pitchfork.com/photos/5e90d39bac9e490008f40868/1:1/w_320/Negro_Pink%20Siifu.jpg,71.75,Pink Siifu,['experimental hip hop'],53,8562,40ZElxHldNyvn7x8WRC6fh
Hamilton Leithauser,The Loves of Your Life,Rock,7.6,2020-04-14T05:00:00.000Z,https://media.pitchfork.com/photos/5e8df0c397ffd9000938e29d/1:1/w_320/The%20Loves%20of%20Your%20Life_Hamilton%20Leithauser.jpg,71.0,Hamilton Leithauser,"['art pop', 'chamber pop', 'freak folk', 'indie rock', 'stomp and holler']",56,23874,3ZXXJ9nO1Dn9B0AJ25eAQY
Bladee,Exeter,,7.2,2020-04-16T05:00:00.000Z,https://media.pitchfork.com/photos/5e949f3eb09a5100092ba763/1:1/w_320/Exteter_Bladee.jpg,70.25,Bladee,"['emo rap', 'underground hip hop', 'vapor trap']",65,79345,2xvtxDNInKDV4AvGmjw6d1
Trace Mountains,Lost in the Country,Rock,8.0,2020-04-14T05:00:00.000Z,https://media.pitchfork.com/photos/5e8df38be21e4f0009eaf04b/1:1/w_320/Lost%20In%20The%20Country_Trace%20Mountains.jpg,70.25,Trace Mountains,"['freak folk', 'garage psych', 'indie rock', 'small room']",41,5033,7sLtFQOS2kTEnMPTFLFU1t
Ambar Lucid,Garden of Lucid,Rock,7.4,2020-04-17T05:00:00.000Z,https://media.pitchfork.com/photos/5e949b92936cf300086dad7c/1:1/w_320/Garden%20of%20Lucid_Ambar%20Lucid.jpg,69.25,Ambar Lucid,['bedroom pop'],55,33097,4nzV0hThyodYzrwksnS86G
M. Ward,Migration Stories,Rock,7.2,2020-04-13T05:00:00.000Z,https://media.pitchfork.com/photos/5e908221ac9e490008f40861/1:1/w_320/Migration%20Stories_M.%20Ward.jpg,68.25,M. Ward,"['alternative country', 'anti-folk', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'new americana', 'portland indie', 'slow core', 'stomp and holler']",57,163913,6nXSnNEdLuKTzAQozRtqiI
