artist,title,genre,url,region,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
City and Colour,Song Of Unrest (Isolation Remix),acoustic,https://cityandcolour.bandcamp.com/album/song-of-unrest-isolation-remix,ontario,73.733,64,2020-05-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e48b511945b8697d9de33ba9,6I65TpNc6VCcLwDjMunRS6,74gcBzlQza1bSfob90yRhR
The Real McKenzies,Beer & Loathing,punk,https://therealmckenzies.bandcamp.com/album/beer-loathing,vancouver,69.133,53,2020-05-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028e1ae09009ae616bf3f9975c,5U73a67yqweczKp7Qe0auw,1YczG6BNjM9XAnw64RqnXi
No Fun,No Fun,punk,https://nofun-neonblitz.bandcamp.com/album/no-fun,manitoba,68.4,64,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029d23f95a5f0d4882d070c2dc,6JHSBi3YO1kAv7m1nE5w0y,0YhUSm86okLWldQVwJkLlP
PUP,Anaphylaxis,rock,https://puptheband.bandcamp.com/album/anaphylaxis,toronto,67.4,59,2020-04-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f60f3856b4a741ee335a7094,5SH4FPOyMUYOgfNSjvD2Kf,6A7uqgC2N1nUhrCLAytHxN
Austra,HiRUDiN,alternative,https://austramusic.bandcamp.com/album/hirudin,toronto,65.867,52,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02cfc2352d0739633c24dd3cf8,70dAWY6KDpSriewnxFngXt,1o43SzzuLoyOxqThmp7s0g
David Myles,Leave Tonight,pop,https://davidmyles.bandcamp.com/album/leave-tonight,novascotia,65.733,44,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027251cd1f2598e7be5ea88607,2CxYp6X6TmO7QcK0qo2FTo,0C52ChHxEwG9E6Mi7Kmlkf
FrankJavCee,I Love Hating You,electronic,https://strudelsoft.bandcamp.com/album/i-love-hating-you,ontario,62.867,47,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0246fb123e345177a0231ae4a3,4OiyMjMCdHaWCaDQVXXv5p,3nHKeOa45XrUplL3NiGy7E
Moka Only,It Can Do,hip-hop/rap,https://mokaonly.bandcamp.com/album/it-can-do,vancouver,60.933,36,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0244fbffec35a075aef5ef450b,6LZNLkuJ83ucq0gBbrvwj5,7G9ZUoEjbi5Z2bR5w60S0h
Dokkodo Sounds,Mt. Kita,,https://inneroceanrecords.bandcamp.com/album/mt-kita,calgary,58.533,32,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0297f77706e92bab93735315b1,6LEAAJjaQDPzSxwy6pKHTs,2mNcyUGwbsOjIkhzMv7aHo
"Le Matos, L'Amour",Join Us Remixes Part 1,electronic,https://lematos.bandcamp.com/album/join-us-remixes-part-1,montreal,57.6,46,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e5c6c4660a833f7e1d184d9a,29HsCmJPudEX5pu6wb2oNT,5nrAu9uBcj8NcdZHo09qG9
Lido Pimienta,Miss Colombia,alternative,https://lidopimienta.bandcamp.com/album/miss-colombia,toronto,56.533,52,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02802fedd4354077a836e6a3e2,6H6MZ54B5FLBLXXxWGEl7y,1IdkKQ9CM1i0wygfxYV4Z3
The Lost Fingers,VS. 1,jazz,https://thelostfingers.bandcamp.com/album/vs-1,quebec,56.267,36,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02632f9a5172b0181a1f725c75,6hdmEnZXtSgCKcHQmrEYaP,6sp0EZC05wbJUlY1h8oOUc
Mara Tremblay,Uniquement pour toi,pop,https://maratremblay.bandcamp.com/album/uniquement-pour-toi-2,montreal,56.133,28,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025711b4e8e2c177a0379199fa,19qPYWRkj6FUpbhhoYhJcH,1tt3YXVP4AltaStku4rpf3
Andrea Cormier,Creatures of Illusion,folk,https://andreacormier.bandcamp.com/album/creatures-of-illusion,montreal,56.133,28,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d6df61a69031fb857e70a021,5evKIfqd2VPgm51bppVzly,289n75xwCPSyBNwuleNU3S
Matthew Tavares,In Your Arms / Love,alternative,https://matthewtavares.bandcamp.com/album/in-your-arms-love-2,ontario,56.0,30,2020-05-06T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02dc06bc2a87fff26b44b82149,6wK6sNbk3MhGySFuew5yJm,6jVFLmCLOYooCmsCIGKm6S
DEAD GHOSTS,Automatic Changer,rock,https://deadghosts.bandcamp.com/album/automatic-changer,vancouver,55.8,43,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020cd22b9def26e93eed815ebe,5v7w9iSJ0ims5ix9WMJwDg,3p0vuGnsU3JN0ZVBLiJwmp
The Royal Foundry,Okay?,alternative,https://theroyalfoundry.bandcamp.com/album/okay,alberta,55.533,27,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028e6ef801ff329715db5b7947,1BOETUQcWGXyZ7sfXYkVWt,7w7g3NoDd7yITLuPp8kmfg
Jill Barber,Entre nous,pop,https://jillbarber.bandcamp.com/album/entre-nous,vancouver,55.333,50,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c46030fbafc3d55cda90cf8e,2E2cblQjuaWNoa3b0npain,0Geq9Y20DjOlUjvmFZtzGx
Michelle Creber,Storm,pop,https://michellecreber.bandcamp.com/album/storm,vancouver,55.067,34,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02022ca4735841c71b942e53dc,77LIcZfnuh9vFQJ5SAfTQv,4lUkpiGMPmuwIxmaZP7bho
Patrick Holland,Simstim,electronic,https://patrickholland.bandcamp.com/album/simstim,montreal,53.267,31,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024913502a807323819267edb9,0uOxANl2JBV4hDGY70rrXh,0dns940bo2pILe1Flk0WH3
Ryan Hemsworth,New Life / Sun Up,electronic,https://ryanhemsworth.bandcamp.com/album/new-life-sun-up,novascotia,52.8,48,2020-04-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0263f9b54823874cdeeb3bc405,7nGjmiJwyC5k6blQEmHFSN,2CgysNw5B7rFNRtRjQbPZ9
