artist,title,genre,url,region
METZ,Acid / Slow Decay,punk,https://metz.bandcamp.com/album/acid-slow-decay,toronto
Black Dresses,Peaceful as Hell,electronic,https://blackdresses.bandcamp.com/album/peaceful-as-hell,toronto
Fucked Up,Rivoli,alternative,https://fuckedup.bandcamp.com/album/rivoli,toronto
Stonegrass,STONEGRASS,devotional,https://cosmicrangerecords.bandcamp.com/album/stonegrass,toronto
Sloan,Live at Yep Roc 15: Sloan,rock,https://sloanmusic.bandcamp.com/album/live-at-yep-roc-15-sloan,toronto
Fucked Up,Mixtape 6,alternative,https://fuckedup.bandcamp.com/album/mixtape-6,toronto
TANKS,Success,alternative,https://blacksquares.bandcamp.com/album/success,toronto
Austra,HiRUDiN,alternative,https://austramusic.bandcamp.com/album/hirudin,toronto
PUP,Anaphylaxis,rock,https://puptheband.bandcamp.com/album/anaphylaxis,toronto
Pantayo,Pantayo,world,https://pantayo.bandcamp.com/album/pantayo,toronto
Lord Phobos,Phobos II,electronic,https://lordphobos.bandcamp.com/album/phobos-ii,toronto
Flamingosis & The Kount,Maniacs!,hip-hop/rap,https://flamingosis1.bandcamp.com/album/maniacs,toronto
Lido Pimienta,Miss Colombia,alternative,https://lidopimienta.bandcamp.com/album/miss-colombia,toronto
The Birthday Massacre,Diamonds,alternative,https://thebirthdaymassacre.bandcamp.com/album/diamonds,toronto
eden pipe camp,bright hope / strangely dim,alternative,https://edenpipecamp.bandcamp.com/album/bright-hope-strangely-dim,toronto
Jon Mckiel,Bobby Joe Hope,alternative,https://youvechangedrecords.bandcamp.com/album/bobby-joe-hope,toronto
Alvvays,Antisocialites,alternative,https://alvvays.bandcamp.com/album/antisocialites,toronto
Angie Nussey,I Have No Idea What I'm Doing,folk,https://angienussey.bandcamp.com/album/i-have-no-idea-what-im-doing,toronto
Ada Rook,"2,020 Knives",electronic,https://adarook.bandcamp.com/album/2020-knives,toronto
Ways + Simon Toldam,Fortunes,experimental,https://brodiewest.bandcamp.com/album/fortunes,toronto
Familiars,All In Good Time,rock,https://familiarsmusic.bandcamp.com/album/all-in-good-time,toronto
TWRP,Return to Wherever,rock,https://twrp.bandcamp.com/album/return-to-wherever,toronto
Black Dresses,LOVE AND AFFECTION FOR STUPID LITTLE BITCHES,electronic,https://blackdresses.bandcamp.com/album/love-and-affection-for-stupid-little-bitches,toronto
Проект Лазарь | Project Lazarus,Про Лунy и Про Ракету (PRJL200508),electronic,https://projectlazarus.bandcamp.com/album/y-prjl200508,toronto
E-Saggila,Archives 2015-18,electronic,https://cobaltrec.bandcamp.com/album/archives-2015-18,toronto
Parallel Minds,PM002.5,electronic,https://weareparallelminds.bandcamp.com/album/pm0025,toronto
