artist,title,genre,rating,image,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Fiona Apple,Fetch the Bolt Cutters,Pop/Rock,4.5,https://rovimusic.rovicorp.com/image.jpg?c=Q09ZNWphOVFIo3kexBJk09_M69_UI9rrJSVvWL2-yAg=&f=3,84.2,76,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02841292c1316c4bf85447bcd9,0fO1KemWL2uCCQmM22iKlj,3g2kUQ6tHLLbmkV7T4GPtL
Car Seat Headrest,Making a Door Less Open,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=wG3Qmf3zyzUCmlRT4MumNJhUoDg0hsvx4F4sL4oO-nA=&f=3,80.667,65,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02962ca53ba96df449c656bf38,1tuoWW0TpoI5oacIjwYBdL,5PbpKlxQE0Ktl5lcNABoFf
BC Camplight,Shortly After Takeoff,Pop/Rock,4.5,https://rovimusic.rovicorp.com/image.jpg?c=Inu05zuXJxm0luxcBmWmaphUoDg0hsvx4F4sL4oO-nA=&f=3,80.133,44,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02cd4dbbad9109c0091c9badc1,7wM9ZPaxl06eMfVnzjT7ZM,3cePP77CX6XY9b0aigzrqh
Trivium,What the Dead Men Say,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=epuqKkLi6xOdbhM9Yh9QRj6KsMttLlyBmmVTZ6_CLs0=&f=3,79.733,72,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f11a218563f0edfa7940fc94,0aXIJYbWk4u41iJmoJmp8y,278ZYwGhdK6QTzE3MFePnP
Lido Pimienta,Miss Colombia,Electronic,4.5,https://rovimusic.rovicorp.com/image.jpg?c=Inu05zuXJxm0luxcBmWmahyhM-OFI8zG4l-qVpXXB1I=&f=3,79.4,52,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02802fedd4354077a836e6a3e2,6H6MZ54B5FLBLXXxWGEl7y,1IdkKQ9CM1i0wygfxYV4Z3
Austra,Hirudin,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=0Sry0uAhajiO7SjotEYJDFWnbEN5fCjifro6xhIBuB4=&f=3,77.667,50,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02cfc2352d0739633c24dd3cf8,70dAWY6KDpSriewnxFngXt,1o43SzzuLoyOxqThmp7s0g
Duke Dumont,Duality,Electronic,4.0,https://rovimusic.rovicorp.com/image.jpg?c=YjcIJdpK1hiLMrnhMuta1Q4Q1ghY8VaPylnm7PwcKNY=&f=3,77.6,73,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023ce84b2c05a3bac3d48c8217,6AlOjPdNpM41lMVSjjsrUM,61lyPtntblHJvA7FMMhi7E
Katatonia,City Burials,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=_YWT1X9uDIO8v6xn5fX7OT6KsMttLlyBmmVTZ6_CLs0=&f=3,77.333,60,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d439163a7c22fd050a215290,1DX36PVNNEo2o9RAZN6OYJ,2CWWgbxApjbyByxBBCvGTm
Diet Cig,Do You Wonder About Me?,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=icO8a0FfsBy-Zuo2lsWh2d_M69_UI9rrJSVvWL2-yAg=&f=3,76.667,45,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e9574bc62163cdceae31534c,1LfkcrlTnQqx2AhHtuhJhB,6ommlbuccgdiKSgjvVlQ4W
Enter Shikari,Nothing Is True & Everything Is Possible,Pop/Rock,4.0,https://rovimusic.rovicorp.com/image.jpg?c=0C9Zdo4HJEhLqLwqBzQxuw4Q1ghY8VaPylnm7PwcKNY=&f=3,76.6,68,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02762655ef39363f8947c89c2e,4VBnxLnSqWSodiwHIZGdIH,31jvzuB4ikftPQZJwrYfCF
