artist,title,genre,url,image,score,sp_artist,sp_popularity,sp_followers,sp_date,sp_img,sp_album_id,sp_artist_id
Lido Pimienta,Miss Colombia,alternative,https://lidopimienta.bandcamp.com/album/miss-colombia,https://f4.bcbits.com/img/a471946789_2.jpg,59.917,Lido Pimienta,51,19919,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02802fedd4354077a836e6a3e2,6H6MZ54B5FLBLXXxWGEl7y,1IdkKQ9CM1i0wygfxYV4Z3
The Birthday Massacre,Diamonds,alternative,https://thebirthdaymassacre.bandcamp.com/album/diamonds,https://f4.bcbits.com/img/a2603976826_2.jpg,54.167,The Birthday Massacre,55,125501,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02446f8ea2591239282681260d,1VNFWHGOrDuZH70xJYmO7w,16AVsBqzmIZTNHd0eX8VbK
Black Dresses,Peaceful as Hell,electronic,https://blackdresses.bandcamp.com/album/peaceful-as-hell,https://f4.bcbits.com/img/a3575771155_2.jpg,53.0,Black Dresses,44,10907,2020-04-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02387112a76ede40ce864b540d,6xf8VTV1vcs2VAVLg4nMLG,7FFwJQ58hAy7PMo4lUBW96
Merival,Either Side,folk,https://merival.bandcamp.com/album/either-side,https://f4.bcbits.com/img/a3798088723_2.jpg,49.333,Merival,33,1557,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b37c2d53c184b206b88e1791,1B30WM2bvfhUrF9wz6kU6X,1kCQYFPjvDy6ARPdGi3dby
adaline,"Dear Illusion,",pop,https://adalinemusic.bandcamp.com/album/dear-illusion,https://f4.bcbits.com/img/a2057344328_2.jpg,48.583,Adaline,32,3830,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023de03889b13a68389f056699,4Td1ugwzJ0bJ81azK2gSpQ,1REDrBXbbc8ZeQOzdoZ8HB
Jaunt,All In One,alternative,https://jauntband.bandcamp.com/album/all-in-one,https://f4.bcbits.com/img/a2392777796_2.jpg,47.5,Jaunt,35,3860,2020-04-16T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027215d78382a2739501f1f936,0g8fBdNLiOk05wKkDRktd8,0RjyW369Wyqush2rz41dkA
Bruce Peninsula,No Earthly Sound,folk,https://brucepeninsula.bandcamp.com/album/no-earthly-sound,https://f4.bcbits.com/img/a3464781188_2.jpg,46.417,Bruce Peninsula,33,3033,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0295630956c52b904b21f99af6,5eVVVY0zVykT1hePDZFVMI,2Iua0nuwiUuEpXR4qOS4xe
Daniel Romano,"""Okay Wow""",alternative,https://youvechangedrecords.bandcamp.com/album/okay-wow,https://f4.bcbits.com/img/a2294425505_2.jpg,44.417,Daniel Romano,42,18774,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027482ce893030b4f745def234,3M8t4pnAxzffVhugkF0kcG,2kTXvMOmrHVjVewErG5kHD
Lord Phobos,Phobos II,electronic,https://lordphobos.bandcamp.com/album/phobos-ii,https://f4.bcbits.com/img/a1084688991_2.jpg,44.083,Lord Phobos,26,2399,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020722b44b466ac0a9028d3776,6QabY5xXzGMUykHC2c48ff,7sfqlIbynVxN4Xwxr8ZkAW
Andrew Huang,Ganglia,experimental,https://andrewhuang.bandcamp.com/album/ganglia,https://f4.bcbits.com/img/a2016927779_2.jpg,43.833,Andrew Huang,44,100571,2020-03-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0281dc09d9a3b0a58c553508f2,6bSMsFtOa45NOKFsqupiwt,7HifubxN0gO1nHbRIqWhrY
