artist,title,genre,rating,image,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Bad Bunny,LAS QUE NO IBAN A SALIR,Rap,7.2,https://media.pitchfork.com/photos/5eb9bc908b87698b3b0b9e03/1:1/w_320/LAS%20QUE%20NO%20IBAN%20A%20SALIR_Bad%20Bunny.jpg,81.0,99,2020-05-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ae879683217d488c39600092,4gvQO5mEuhbMSrLIuwXkmz,4q3ewBCX7sLwd24euuV69X
Kehlani,It Was Good Until It Wasn’t,Pop/R&B,7.7,https://media.pitchfork.com/photos/5eb58716a994f4606de3256e/1:1/w_320/It%20Was%20Good%20Until%20It%20Wasn't_Kehlani.jpg,80.533,85,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029ca43f84c89df015c7c1b89c,6ROLwnmW9pOioLned0DaP3,0cGUm45nv7Z6M6qdXYQGTX
Jason Isbell and the 400 Unit,Reunions,Folk/Country,7.8,https://media.pitchfork.com/photos/5eb979df8b87698b3b0b9d96/1:1/w_320/Reunions_Jason%20Isbell%20and%20the%20400%20Unit.jpg,79.067,63,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028fc91786225ca4ee7e868060,5XIafkwTpyvL7jjLJx1xKz,3Lg3FGwBxOGuefqekQzRUf
Blake Mills,Mutable Set,Rock,8.3,https://media.pitchfork.com/photos/5eb18d03ce714c8d7cfce7ff/1:1/w_320/Mutable%20Set_Blake%20Mills.jpg,77.733,53,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021458148758e5b7c8ea04ca9d,3WBhKuBk77KL4nUHkP2xaW,4LhV33vJvXmFGSM3m5RzUR
Lil Durk,Just Cause Y’all Waited 2,Rap,7.3,https://media.pitchfork.com/photos/5eb9b4bfcaddbe3e3b13a53f/1:1/w_320/Just%20Cause%20Y'all%20Waited%202_Lil%20Durk.jpg,77.333,81,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02199263165b6ac27f20a05044,7ClxwGfXKhbDYykavKxvNY,3hcs9uc56yIGFCSy9leWe7
Sheff G,One and Only,Rap,7.3,https://media.pitchfork.com/photos/5eb9b66b8b87698b3b0b9dfe/1:1/w_320/One%20and%20Only_Sheff%20G.jpg,76.867,67,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0254daaeac644e167845ec5be8,6JsYoyTjuPDesbMPw6hun5,1tG7s7S4sq2eFFW0QZyLbm
Drake,Dark Lane Demo Tapes,Rap,6.8,https://media.pitchfork.com/photos/5eb04c24ce714c8d7cfce6f1/1:1/w_320/Dark%20Lane%20Demo%20Tapes_Drake.jpg,75.8,100,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02bba7cfaf7c59ff0898acba1f,6OQ9gBfg5EXeNAEwGSs6jK,3TVXtAsR1Inumwj472S9r4
Little Simz,Drop 6,Rap,7.7,https://media.pitchfork.com/photos/5eb97c028b87698b3b0b9d99/1:1/w_320/Drop%206%20EP_Little%20Simz.jpg,75.467,63,2020-05-06T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d0bb66e4667e13d4fdc739d6,6QrGmXbUtjyekuW83gXBBb,6eXZu6O7nAUA5z6vLV8NKI
Hayley Williams,Petals for Armor,Pop/R&B,7.2,https://media.pitchfork.com/photos/5eb5c582a994f4606de325df/1:1/w_320/Petals%20for%20Armor_Hayley%20Williams.jpg,75.333,74,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02896e2483613a566bcb00d324,4HXpQ5KQBVWN25ltjnX7xa,6Rx1JKzBrSzoKQtmbVmBnM
Ka,Descendants of Cain,Rap,8.1,https://media.pitchfork.com/photos/5eb5d7aae5423e84f420e651/1:1/w_320/Descendants%20of%20Cain_Ka.jpeg,74.6,45,2020-05-07T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d403eff090dfe3be01debfc8,0yhyMBfxKhjy1f7TsXXssl,0cmqAB0gdr6ObvjNrQJAQr
