artist,title,genre,url,image,score,sp_artist,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Jill Barber,Entre nous,pop,https://jillbarber.bandcamp.com/album/entre-nous,https://f4.bcbits.com/img/a1828957874_2.jpg,59.917,Jill Barber,51,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c46030fbafc3d55cda90cf8e,2E2cblQjuaWNoa3b0npain,0Geq9Y20DjOlUjvmFZtzGx
Infected Mushroom,More than Just a Name,electronic,https://music.monstercat.com/album/more-than-just-a-name,https://f4.bcbits.com/img/a3927204925_2.jpg,58.5,Infected Mushroom,63,2020-03-23T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a1148567f1d1a5511ac428c7,0qC9Antm7utFRq3B04K0l4,6S2tas4z6DyIklBajDqJxI
The Pack a.d.,It was fun while it lasted,rock,https://thepackad.bandcamp.com/album/it-was-fun-while-it-lasted,https://f4.bcbits.com/img/a3693837926_2.jpg,53.917,The Pack a.d.,43,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0234e6e13888f150faf08d83d4,1AXmSHA1ltK7gYTcR00zXx,2gbOUPIhea9nrCmAeZBgpo
F.O.O.L,Revenger,electronic,https://music.monstercat.com/album/revenger,https://f4.bcbits.com/img/a1756702619_2.jpg,51.5,F.O.O.L,52,2020-03-26T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0299b3746ed4c8f569f68b7e3c,2mJNWUXSJhP4fCivZmnNaV,1ldNdtZX38LAsOk0ciLvb2
Monstercat,Monstercat Instinct Vol. 5,electronic,https://music.monstercat.com/album/monstercat-instinct-vol-5,https://f4.bcbits.com/img/a608814004_2.jpg,46.75,Monstercat,39,2020-04-07T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a723f3434a75f682538d7f97,1G581b7hODjE3txrb877G0,4YwB41gFHCxY5bcNR3CcIH
Strap,Strap,rock,https://strapvancouver.bandcamp.com/album/strap,https://f4.bcbits.com/img/a4022131775_2.jpg,41.0,Strap,28,2020-04-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d0011f92bed77b46e846d3f4,60a1QXcos5jwaMu78vT77y,2uWFN03NtTA8kt1zVwj1YJ
Front Line Assembly,Feeder,alternative,https://frontlineassembly.bandcamp.com/album/feeder,https://f4.bcbits.com/img/a392880360_2.jpg,38.583,Front Line Assembly,42,2020-03-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0272f3db3811cdc12f2fa9ad70,1zp0qcuYDcBCvDcdLrAIUc,5QYAExYvxixCVwX70SRf7F
Area 3,Area 3,electronic,https://heart.bandcamp.com/album/area-3,https://f4.bcbits.com/img/a3845500799_2.jpg,28.25,Area 3,11,2020-04-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028ab3a40d55ad9e7048820e09,3P5koWkXz7oA0rZQ1P09kF,18mbSJTTn9mHCc5aZMfWR4
Ryan McAllister,Ten Speed,rock,https://ryanmcallistermusic.bandcamp.com/album/ten-speed,https://f4.bcbits.com/img/a3604106512_2.jpg,27.75,Ryan McAllister,12,2020-04-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e026f8f5fd45b4e0fe2da837d36,0VdoF8Eom5rmI3dMkhNeH9,2T96koWC1Uz8yss535oNHX
Wrecked Beach,Eye Tide,rock,https://wreckedbeach.bandcamp.com/album/eye-tide,https://f4.bcbits.com/img/a1234091119_2.jpg,27.583,Wrecked Beach,4,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02769d036ed515084c3e4bfedf,0JOt6dXTiBF3vNkkX2xLMl,1QgAKWgXYBOnZFPkTEJv4i
SPECTRES,Nostalgia,punk,https://spectresvancouver.bandcamp.com/album/nostalgia,https://f4.bcbits.com/img/a4224000121_2.jpg,26.583,SPECTRES,26,2020-03-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02821119eb419ba579177ac9fc,7sXyDbD0lM4kzu6iN6jUK2,500yQ6SXJF9GBKVZrEjgAs
Heavy Trip,Heavy Trip,rock,https://heavytripdudes.bandcamp.com/album/heavy-trip,https://f4.bcbits.com/img/a66787136_2.jpg,25.333,Heavy Trip,16,2020-03-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0242d79654ea5899018a44e697,5300nWqFTLZzcdzOIsuOvq,0ecYpP3fC3I9R06kvuY0jM
Gordon Grdina's The Marrow,Safar-e-Daroon,jazz,https://gordongrdina.bandcamp.com/album/safar-e-daroon,https://f4.bcbits.com/img/a3209534797_2.jpg,24.583,Gordon Grdina's The Marrow,0,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ef0f5d4d347d8ff604f2200e,1nAZRz0DmblyH7rz3twUnp,4M2Muaj3ytnrJ2v6FZRmHo
War Baby,You Are Not Here,,https://kingfisherbluez.bandcamp.com/album/you-are-not-here,https://f4.bcbits.com/img/a2942630801_2.jpg,23.5,War Baby,18,2020-03-20T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ce2c11fef2da7efd747c5b44,6pXGfczP0GRd8Aw8poykMt,4wDSazZ8Mw5JTMyJ3ki3Xb
dbella dballa,dbella dballa,soundtrack,https://dbelladballa.bandcamp.com/album/dbella-dballa-2,https://f4.bcbits.com/img/a2345162827_2.jpg,22.917,Dbella Dballa,0,2020-04-20T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b700ae287f3fd414c1a957c9,0FRA52EypvHOmMQbjZZApX,0WFFBc75t5vSzf4AadJXuc
Rob Butterfield,Onliest,folk,https://robbutterfield.bandcamp.com/album/onliest,https://f4.bcbits.com/img/a2789733969_2.jpg,22.167,Rob Butterfield,4,2020-04-11T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f15c5f00db204423482eb093,6q9X2kI6fxL1fSX2wkbWaG,1FPKU6cK4aBhAjzGHMTJlm
Small Town Artillery,Bright Side Bandits,rock,https://smalltownartillery.bandcamp.com/album/bright-side-bandits,https://f4.bcbits.com/img/a3079879615_2.jpg,14.667,Small Town Artillery,14,2020-03-06T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02dd3289a5d9c16154f70257fb,2RVeKI8Vnyy4nj07IrXvS9,72HoTomoN00PCSXRwCeUm5
lié,You Want It Real,punk,https://lievancouver.bandcamp.com/album/you-want-it-real,https://f4.bcbits.com/img/a1298466715_2.jpg,1.25,,0,2020-02-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e3b73e9b49cdfc632f7f072f,0bXvbNZnS1iPLvGaDqDkmt,
